row_id,player_id,player_name,club,season,matched,match_type,name_score,club_score,fbref_player_name,fbref_club
9314,607224,Hannibal,Manchester United,2022,False,none,0,0,,
9319,607854,Éderson,US Salernitana 1919,2021,False,none,0,0,,
9320,607854,Éderson,Atalanta BC,2022,False,none,0,0,,
9321,607854,Éderson,Atalanta BC,2023,False,none,0,0,,
9322,607854,Éderson,Atalanta BC,2024,False,none,0,0,,
9335,610849,Liam Delap,Manchester City,2022,False,none,0,0,,
9343,612826,Silas,VfB Stuttgart,2024,False,none,0,0,,
9375,618350,Dion Beljo,FC Augsburg,2022,False,none,0,0,,
9381,618494,Tyler Morton,Liverpool FC,2024,False,none,0,0,,
9403,622988,Fran Pérez,Valencia CF,2023,False,none,0,0,,
9427,625651,Urko González de Zárate,RCD Espanyol Barcelona,2024,False,none,0,0,,
9439,627226,Reinier,Real Madrid,2019,False,none,0,0,,
9442,627228,Yan Couto,Manchester City,2021,False,none,0,0,,
9454,629588,Nathan Ngoumou,Borussia Mönchengladbach,2023,False,none,0,0,,
9460,633652,Calvin Ramsay,Liverpool FC,2022,False,none,0,0,,
9523,648020,Alexsandro,LOSC Lille,2022,False,none,0,0,,
9524,648020,Alexsandro,LOSC Lille,2023,False,none,0,0,,
9546,649317,Jhon Durán,Aston Villa,2022,False,none,0,0,,
9547,649317,Jhon Durán,Aston Villa,2023,False,none,0,0,,
9548,649317,Jhon Durán,Aston Villa,2024,False,none,0,0,,
9570,656316,Gabriel Slonina,Chelsea FC,2022,False,none,0,0,,
9580,659089,Ilya Zabarnyi,AFC Bournemouth,2022,False,none,0,0,,
9581,659089,Ilya Zabarnyi,AFC Bournemouth,2023,False,none,0,0,,
9582,659089,Ilya Zabarnyi,AFC Bournemouth,2024,False,none,0,0,,
